fips_code,population
17015,14715
17017,
17017,13156
17019,
17019,207133
17021,
17021,33892
17023,
17023,16180
17025,13520
17025,
17027,37857
17027,
17029,53320
17029,
17031,5246456
17031,
17033,
17033,19393
17035,10833
17035,
17037,105462
17037,
17039,16284
17039,
17041,
17041,19889
17043,932708
17043,
17045,
17045,17841
17047,
17047,6617
17049,34320
17049,
17051,
17051,21870
17053,13688
17053,
17055,39411
17055,
17057,36007
17057,
17059,
17059,5291
17061,
17061,13434
17063,
17063,50425
17065,8296
17065,
17067,
17067,18564
17069,4129
17069,
17071,
17071,6916
17073,
17073,49635
17075,
17075,28879
17077,
17077,59677
17079,9623
17079,
17081,38534
17081,
17083,
17083,22571
17085,
17085,22254
17087,
17087,12601
17089,
17089,527306
17091,111375
17091,
17093,
17093,121350
17095,
17095,52069
17097,
17097,705186
17099,111241
17099,
17101,16519
17101,
17103,
17103,34735
17105,37903
17105,
17107,
17107,29746
17109,31880
17109,
17111,
17111,307283
17113,174061
17113,
17115,
17115,108350
17117,46453
17117,
17119,266560
17119,
17121,38571
17121,
17123,12014
17123,
17125,
17125,13898
17127,
17127,14905
17129,12570
17129,
17131,
17131,15945
17133,33722
17133,
17135,29359
17135,
17137,
17137,34929
17139,14837
17139,
17141,
17141,52085
17143,
17143,187319
17145,21672
17145,
17147,16431
17147,
17149,16022
17149,
17151,4276
17151,
17153,
17153,5815
17155,5814
17155,
17157,32869
17157,
17159,
17159,16061
17161,
17161,146063
17163,
17163,265729
17165,
17165,24612
17167,
17167,198997
17169,
17169,7330
17171,5204
17171,
17173,22048
17173,
17175,5813
17175,
17177,46435
17177,
17179,
17179,135707
17181,
17181,17447
17183,79728
17183,
17185,11549
17185,
17187,
17187,17874
17189,14337
17189,
17191,16543
17191,
17193,
17193,14374
17195,
17195,56876
17197,
17197,685419
17199,
17199,67008
17201,288542
17201,
17203,
17203,39187
18000,
18001,34791
18001,
18003,
18003,365918
18005,
18005,80217
18007,
18007,8700
18009,
18009,12401
18011,
18011,61915
18013,
18013,14962
18015,19923
18015,
18017,
18017,38438
18019,
18019,114262
18021,
18021,26562
18023,32776
18023,
18025,
18025,10655
18027,32729
18027,
18029,
18029,49506
18031,26524
18031,
18033,
18033,42383
18035,
18035,117074
18037,
18037,42345
18039,
18039,201971
18041,23468
18041,
18043,
18043,76179
18045,
18045,16658
18047,22934
18047,
18049,20500
18049,
18051,
18051,33759
18053,68569
18053,
18055,
18055,32726
18057,
18057,302623
18059,71978
18059,
18061,39299
18061,
18063,
18063,156056
18065,
18065,48995
18067,82982
18067,
18069,
18069,36706
18071,43705
18071,
18073,
18073,33475
18075,21179
18075,
18077,32494
18077,
18079,
18079,28000
18081,147538
18081,
18083,
18083,37938
18085,
18085,78564
18087,38436
18087,
18089,
18089,490228
18091,111444
18091,
18093,
18093,45704
18095,130069
18095,
18097,
18097,934243
18099,
18099,47107
18101,
18101,10203
18103,
18103,35954
18105,143339
18105,
18107,38146
18107,
18109,69693
18109,
18111,14156
18111,
18113,47618
18113,
18115,
18115,6035
18117,
18117,19626
18119,20969
18119,
18121,17233
18121,
18123,19454
18123,
18125,
18125,12624
18127,
18127,167076
18129,25540
18129,
18131,
18131,12967
18133,
18133,37618
18135,25384
18135,
18137,
18137,28497
18139,16892
18139,
18141,
18141,267618
18143,23712
18143,
18145,
18145,44579
18147,20801
18147,
18149,23074
18149,
18151,34308
18151,
18153,21050
18153,
18155,10452
18155,
18157,183074
18157,
18159,
18159,15415
18161,7246
18161,
18163,182006
18163,
18165,
18165,15693
18167,108175
18167,
18169,
18169,32252
18171,
18171,8352
18173,
18173,61149
18175,27878
18175,
18177,
18177,67671
18179,27862
18179,
18181,
18181,24453
18183,
18183,33403
19000,
19001,7454
19001,
19003,3875
19003,
19005,14038
19005,
19007,
19007,12661
19009,
19009,5794
19011,
19011,25680
19013,132897
19013,
19015,26433
19015,
19017,
19017,24721
19019,
19019,21038
19021,20578
19021,
19023,15006
19023,
19025,9866
19025,
19027,20562
19027,
19029,
19029,13448
19031,18411
19031,
19033,
19033,43254
19035,
19035,11836
19037,12264
19037,
19039,
19039,9217
19041,
19041,16515
19043,17692
19043,
19045,48051
19045,
19047,17228
19047,
19049,77400
19049,
